code,name,sellPrice,cost,stock
SP000237,Super Lân lẻ 1kg,7000,6000.0,40.0
SP000236,lẻ 16 16 16 sop hàn việt,30000,23000.0,18.0
SP000235,Nitratbo yara lẻ 1kg,20000,16000.0,23.0
SP000234,siêu bám dính loang trải 100 ml,30000,9000.0,286.0
SP000233,ledan 4gr gà đá 1kg,45000,31000.0,20.0
SP000232,agasi amino rong biển 250ml,80000,68000.0,31.0
SP000231,chế phẩm sinh học nema gói 1 kg trị tuyến trùng,150000,120000.0,20.0
SP000230,canxi bo kẽm mn 250 ml,65000,34000.0,39.0
SP000229,rong biển oganic chai 250 ml,75000,42000.0,49.0
SP000228,loang trải 999,40000,30000.0,1.0
SP000227,"wofadan 4gr siêu tuyến trùng, sùng đất 1kg",55000,40000.0,20.0
SP000226,Tilt Super 300EC 250ml,240000,211000.0,5.0
SP000225,Ba đăng 500WP,40000,28000.0,30.0
SP000224,Npk 16-16-16 sop 25kg hàn việt kali trắng,680000,570000.0,8.0
SP000223,Siêu imida 100WP Super gói 100GR rầy rệp,20000,7000.0,100.0
SP000222,Khongray 100g 54 wp rầy,45000,20500.0,99.0
SP000221,npk 16 16 16 te nga thành phương bao 25kg,620000,455000.0,16.0
SP000220,npk 12 12 17 sop nga _ thành phương,640000,520000.0,20.0
SP000219,Nitrat Bo yara 25kg,480000,395000.0,18.0
SP000218,NPK Hàn Việt 17 - 7 -17 TE,1010000,835000.0,20.0
SP000216,anmite 100ml diệt nhện đỏ,135000,95000.0,28.0
SP000215,Bạch hổ 150SC,60000,40000.0,43.0
SP000214,Marshal 200SC 500ml fmc carbofusan,170000,125000.0,15.0
SP000213,Map judo 100g ung trứng,40000,24000.0,52.0
SP000212,Kona kabo 450ml,150000,95000.0,27.0
SP000211,coted 100 wp chuyên sâu 100 g,40000,25000.0,37.0
SP000210,12 12 17 sop hàn việt 25kg,630000,480000.0,7.0
SP000209,vôi sữa silicat 450 ml,80000,49000.0,24.0
SP000208,tomcat 20 sc vua kiếm,190000,155000.0,10.0
SP000207,bám dính 450 ml,23000,17000.0,16.0
SP000206,Yara 12.11.18 25kg,780000,690000.0,5.0
SP000205,Organo forge 250ml hợp trí,115000,86000.0,9.0
SP000204,Casi hoptri -500ML,95000,76000.0,17.0
SP000203,Keo liền sẹo đỏ nhỏ,30000,23000.0,14.0
SP000202,Daconil 500SC 100ml,65000,39000.0,19.0
SP000201,faridat 0.05 rb 100g diệt chuột,45000,31500.0,9.0
SP000200,Mã lục 250WP 100g,35000,19000.0,22.0
SP000199,SA Cà Mau,500000,285000.0,10.0
SP000197,nuôi trái lớn trái,110000,65000.0,10.0
SP000196,siêu đậu trái 500 ml 1 phuy,110000,67000.0,15.0
SP000195,tilt super 100ml,95000,85000.0,2.0
SP000194,kali trắng lẻ 1kg,30000,20000.0,12.0
SP000192,TVG20 565EC 450ml đặc trị rệp sáp,240000,178000.0,14.0
